/NM0/D (vgs=0) X,/NM0/D (vgs=0) Y
0,0
0.036,9.942658142413467e-10
0.07200000000000001,1.210883238427253e-09
0.108,1.28824317640032e-09
0.144,1.341142345005941e-09
0.18,1.387058262926293e-09
0.216,1.430101684321818e-09
0.252,1.471685792164532e-09
0.288,1.512452892387716e-09
0.3240000000000001,1.552759120608049e-09
0.3600000000000001,1.592830830867563e-09
0.3960000000000001,1.632825833048852e-09
0.4320000000000002,1.672861381438802e-09
0.4680000000000002,1.713028649932335e-09
0.5040000000000002,1.753400986548251e-09
0.5400000000000003,1.794038994050216e-09
0.5760000000000003,1.834993848723731e-09
0.6120000000000003,1.876309571920723e-09
0.6480000000000004,1.91802464399047e-09
0.6840000000000004,1.960173186671007e-09
0.7200000000000004,2.002785852120769e-09
0.7560000000000004,2.045890506665437e-09
0.7920000000000005,2.089512767361546e-09
0.8280000000000005,2.133676430743779e-09
0.8640000000000005,2.178403821001798e-09
0.9000000000000006,2.223716076783572e-09
0.9360000000000006,2.269633390329945e-09
0.9720000000000006,2.316175208865678e-09
1.008000000000001,2.363360405521282e-09
1.044000000000001,2.411207425214389e-09
1.080000000000001,2.459734409565806e-09
1.116000000000001,2.508959304025006e-09
1.152000000000001,2.558899949681353e-09
1.188000000000001,2.60957416176403e-09
1.224000000000001,2.660999796485901e-09
1.260000000000001,2.713194807617712e-09
1.296000000000001,2.766177293991783e-09
1.332000000000001,2.819965538991768e-09
1.368000000000001,2.874578042940399e-09
1.404000000000001,2.930033549241012e-09
1.440000000000001,2.986351064997716e-09
1.476000000000001,3.043549876815017e-09
1.512000000000001,3.101649562374295e-09
1.548000000000001,3.160669998360991e-09
1.584000000000001,3.220631365226915e-09
1.620000000000001,3.281554149259834e-09
1.656000000000001,3.343459142363924e-09
1.692000000000001,3.406367439910323e-09
1.728000000000001,3.470300437001561e-09
1.764000000000001,3.535279823425586e-09
1.8,3.601327577570628e-09
